,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,neo mellow,pop rock,pop,country,contemporary country,dance pop,country road,pop rap,worship,ccm,post-teen pop,miami hip hop,christian music,edm,modern country rock,piano rock,christian alternative rock,celtic rock,country pop,world worship,folk-pop,christian indie,alternative metal,pop punk,modern rock,post-grunge,nu metal,canadian contemporary country,anthem worship,vegas indie,australian country,australian pop,black americana,christian rock,canadian country,permanent wave,neon pop punk,indie poptimism,indiecoustica,modern blues rock,alberta country
22,4IoYz8XqqdowINzfRrFnhi,You Found Me,241853,73,spotify:track:4IoYz8XqqdowINzfRrFnhi,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,3ibdlhMmbFPMYoWvwHCzI3,The Fray,0.0187,0.338,0.803,0.0,0.136,-5.412,0,0.0413,151.994,4,0.4,65,68,2009,02,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,6vrUTGn5p8IrfTZ0J6sIVM,Iris,289906,73,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,0UccZZgelTAbbk3OSPZymO,Greatest Hits Volume One - The Singles,0.00133,0.291,0.79,5.61e-06,0.0811,-5.683,0,0.0363,155.667,3,0.513,63,69,2007,11,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,37sINbJZcFdHFAsVNsPq1i,Superheroes,245466,74,spotify:track:37sINbJZcFdHFAsVNsPq1i,The Script,3AQRLZ9PuTAozP28Skbq8V,6yd9yk8nFcHalXzy7mgaDx,No Sound Without Silence,0.00218,0.49,0.885,0.0,0.0741,-4.121,1,0.0396,166.996,4,0.64,66,73,2014,09,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0YpzP03QziAgqcZSCtjbl2,Battleships,232133,52,spotify:track:0YpzP03QziAgqcZSCtjbl2,Daughtry,5P5FTygHyx2G57oszR3Wot,6UTadUeCxnizkSKAS1VHs4,Baptized (Deluxe Version),0.0121,0.49,0.746,0.0,0.0624,-4.951,1,0.0405,81.848,4,0.331,55,63,2013,11,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,09ZcYBGFX16X8GMDrvqQwt,For the First Time,252853,61,spotify:track:09ZcYBGFX16X8GMDrvqQwt,The Script,3AQRLZ9PuTAozP28Skbq8V,2oc73A20I1FTQiWGCkLeVP,Science & Faith,0.0328,0.396,0.629,0.0,0.183,-4.78,1,0.0287,173.794,4,0.358,53,73,2011,01,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4wTChU0tU44TAMC0xcQizi,Fine By Me,172893,63,spotify:track:4wTChU0tU44TAMC0xcQizi,Andy Grammer,2oX42qP5ineK3hrhBECLmj,2c93mTBuqEHQMiyg53P69R,Andy Grammer,0.00877,0.583,0.791,0.0,0.0451,-4.087,1,0.0318,89.993,4,0.878,61,69,2011,06,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",216666,1,spotify:track:0KpfYajJVVGgQ32Dby7e9i,Train,3FUY2gzHeIiaesXtOAdB7A,5lTCUyQrKcSmcw5ULkt75O,"Hey, Soul Sister",0.217,0.675,0.885,0.0,0.086,-4.432,0,0.0436,97.03,4,0.768,0,71,2009,08,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3aJ8OhUeCybCDo2qdYfwDr,Hold My Hand,221613,45,spotify:track:3aJ8OhUeCybCDo2qdYfwDr,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,4Z1kH6bfeeMYtCuhnR4vEr,Helios,0.00124,0.468,0.878,0.0,0.0734,-3.434,1,0.0522,156.049,4,0.186,48,68,2014,02,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,69J73rzjNvo8b9ZwWlL4FS,Never Gonna Let You Down,248360,51,spotify:track:69J73rzjNvo8b9ZwWlL4FS,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,5nB5tR7ntrEpHbpCS7iHN9,Gypsy Heart,0.08,0.646,0.728,0.0,0.19,-6.123,1,0.0327,107.976,4,0.385,50,67,2014,09,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),236266,69,spotify:track:1N62wozuHCvczCkY4QidpP,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,1IM3GwptCGYjRkzCBolyFK,How To Save A Life,0.022,0.592,0.729,0.0,0.0653,-4.156,1,0.0448,116.03,4,0.709,72,68,2005,09,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,232533,79,spotify:track:4RCWB3V8V0dignt99LZ8vH,Plain White T's,1g1yxsNVPhMUl9GrMjEb2o,4vUClKTFaDWnsHE8rK52GY,All That We Needed,0.872,0.656,0.291,0.0,0.114,-10.572,1,0.0293,103.971,4,0.298,68,63,2005,01,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2atYprr9JsQaLynGhrWhld,Heartbeat,220693,51,spotify:track:2atYprr9JsQaLynGhrWhld,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,1Nu3r7EuveXog0rPvXExSF,Scars & Stories,0.000594,0.458,0.821,9.46e-05,0.161,-5.076,1,0.0334,144.46,4,0.323,50,68,2012,02,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,5L79aNYCTKiZq7vaOElXYj,"Gone, Gone, Gone",209693,67,spotify:track:5L79aNYCTKiZq7vaOElXYj,Phillip Phillips,6p5JxpTc7USNnBnLzctyd4,773GsAWk3z8mGgMDeR7n1A,The World From The Side Of The Moon (Deluxe),0.129,0.664,0.642,0.0,0.114,-5.961,1,0.038,118.002,4,0.501,59,61,2013,01,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),202533,68,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,The Script,3AQRLZ9PuTAozP28Skbq8V,63eaHsLLsW1e5ISNf7ISZy,#3,0.0654,0.421,0.873,0.0,0.123,-4.343,1,0.0564,84.786,4,0.629,58,73,2012,09,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6j7hih15xG2cdYwIJnQXsq,Not Over You,218520,67,spotify:track:6j7hih15xG2cdYwIJnQXsq,Gavin DeGraw,5DYAABs8rkY9VhwtENoQCz,2zVRgW8bXd7ukXRZSWw81j,Sweeter,0.255,0.63,0.894,0.0,0.181,-4.592,1,0.0544,142.051,4,0.364,58,61,2011,09,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,194240,78,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,American Authors,0MlOPi3zIDMVrfA9R04Fe3,0V4laGZGshNCpurfIdUhHv,"Oh, What A Life",0.0591,0.673,0.902,0.000262,0.0558,-2.392,1,0.0346,100.012,4,0.538,68,65,2014,01,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,5l9h7ALxmFWHxdFRB8ybiq,Closer to Me,167493,29,spotify:track:5l9h7ALxmFWHxdFRB8ybiq,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,4Z1kH6bfeeMYtCuhnR4vEr,Helios,0.00222,0.564,0.923,3.29e-06,0.126,-3.372,1,0.0335,147.957,4,0.792,48,68,2014,02,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4AU7z13HYmPMetlWbq1mys,Waiting for Superman,266960,59,spotify:track:4AU7z13HYmPMetlWbq1mys,Daughtry,5P5FTygHyx2G57oszR3Wot,6UTadUeCxnizkSKAS1VHs4,Baptized (Deluxe Version),0.0029,0.555,0.682,0.0,0.0662,-5.711,1,0.0269,105.987,4,0.383,55,63,2013,11,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4Jz4bjXeiF2SXVj9P4YfY5,Keep Your Head Up,189933,69,spotify:track:4Jz4bjXeiF2SXVj9P4YfY5,Andy Grammer,2oX42qP5ineK3hrhBECLmj,2c93mTBuqEHQMiyg53P69R,Andy Grammer,0.0469,0.674,0.778,0.0,0.145,-5.367,1,0.0376,90.01,4,0.816,61,69,2011,06,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2NcstvY8H9PVQ0DMNGHckh,America's Sweetheart,245546,59,spotify:track:2NcstvY8H9PVQ0DMNGHckh,Elle King,3bhu7P5PfngueRHiB9hjcx,0B4eikFaUJcf3hc6DaSVov,Love Stuff,0.0208,0.528,0.928,5.75e-06,0.376,-3.925,1,0.0666,128.01,4,0.4,63,65,2015,02,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,0gC7GdWEUHmo9ZZ35aUKQg,Once in a Lifetime,214822,42,spotify:track:0gC7GdWEUHmo9ZZ35aUKQg,Flo Rida,0jnsk9HBra6NMjO2oANoPY,5lkNnHVlnCCCV304t89wOH,My House,0.182,0.707,0.865,0.0,0.0835,-4.553,1,0.116,93.123,4,0.326,69,77,2015,04,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6Knv6wdA0luoMUuuoYi2i1,My House,192190,76,spotify:track:6Knv6wdA0luoMUuuoYi2i1,Flo Rida,0jnsk9HBra6NMjO2oANoPY,5lkNnHVlnCCCV304t89wOH,My House,0.0215,0.688,0.702,0.0,0.128,-4.792,0,0.0499,94.006,4,0.74,69,77,2015,04,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2S5LNtRVRPbXk01yRQ14sZ,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",224258,66,spotify:track:2S5LNtRVRPbXk01yRQ14sZ,Flo Rida,0jnsk9HBra6NMjO2oANoPY,5lkNnHVlnCCCV304t89wOH,My House,0.0242,0.854,0.766,0.0,0.0793,-4.697,0,0.141,118.004,4,0.784,69,77,2015,04,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4ZHqll0Bhc1nr3hB4Eg7rg,Wobble,186263,45,spotify:track:4ZHqll0Bhc1nr3hB4Eg7rg,Flo Rida,0jnsk9HBra6NMjO2oANoPY,5lkNnHVlnCCCV304t89wOH,My House,0.0483,0.71,0.841,0.0,0.104,-5.688,0,0.204,87.502,4,0.836,69,77,2015,04,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0lQ08hbjK1umHjCYvUrmCp,Here It Is (feat. Chris Brown),192766,48,spotify:track:0lQ08hbjK1umHjCYvUrmCp,Flo Rida,0jnsk9HBra6NMjO2oANoPY,5lkNnHVlnCCCV304t89wOH,My House,0.0446,0.769,0.848,7.74e-06,0.106,-4.665,0,0.0588,123.01,4,0.42,69,77,2015,04,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,4eE21980kRW4k4oHRQciCK,That's What I Like (feat. Fitz),195235,47,spotify:track:4eE21980kRW4k4oHRQciCK,Flo Rida,0jnsk9HBra6NMjO2oANoPY,5lkNnHVlnCCCV304t89wOH,My House,0.0259,0.737,0.841,0.0,0.672,-4.516,1,0.0476,127.999,4,0.77,69,77,2015,04,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
